               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.013982,            0.008528,                   0,             0.96351,                   1,             0.98914,             0.74321,            0.017238,           0.0077841,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.013265,           0.0082859,                   0,             0.96359,                   1,             0.98638,              0.7529,            0.016911,           0.0079508,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.013192,           0.0087144,                   0,             0.96355,                   1,             0.98534,             0.73576,            0.018161,           0.0082809,                   0,            0.004753,            0.004753,            0.004753
                 161,             0.01401,            0.008438,                   0,             0.96358,                   1,             0.98155,             0.73221,             0.01735,           0.0083086,                   0,             0.00472,             0.00472,             0.00472
                 162,             0.01384,           0.0090198,                   0,             0.96364,                   1,             0.98155,             0.73971,            0.017604,           0.0083444,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.013192,            0.008983,                   0,             0.96358,                   1,              0.9719,             0.74055,            0.018157,           0.0081883,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.013488,           0.0088051,                   0,              0.9623,                   1,             0.96914,             0.73428,            0.018018,           0.0081476,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.013614,           0.0092428,                   0,             0.96333,                   1,              0.9719,             0.72601,            0.017659,           0.0081238,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.013173,           0.0091057,                   0,             0.96378,                   1,             0.96914,             0.72254,            0.017649,           0.0085595,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.013262,           0.0083898,                   0,             0.95957,                   1,             0.97293,              0.7131,            0.017466,           0.0089037,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.013454,           0.0083531,                   0,             0.93173,                   1,             0.97621,             0.72822,            0.018212,           0.0086053,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.013134,           0.0083833,                   0,             0.95944,                   1,             0.97431,             0.71622,            0.018213,           0.0084384,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.013097,           0.0090303,                   0,             0.96332,                   1,              0.9681,             0.73695,             0.01782,           0.0077408,                   0,            0.004423,            0.004423,            0.004423
